,sr_no,prob,label,desc
0,884,75.05%,1,This text is most likely written by an Human
1,7577,88.71%,1,This text is most likely written by an Human
2,25340,86.57%,1,This text is most likely written by an Human
3,7555,81.64%,1,This text is most likely written by an Human
4,3710,94.25%,1,This text is most likely written by an Human
5,5528,88.71%,1,This text is most likely written by an Human
6,12526,66.60%,1,This text is most likely written by an Human
7,3157,72.27%,1,This text is most likely written by an Human
8,550,85.08%,1,This text is most likely written by an Human
9,25074,93.73%,1,This text is most likely written by an Human
10,17538,64.66%,1,This text is most likely written by an Human
11,4056,86.58%,1,This text is most likely written by an Human
12,11277,81.16%,1,This text is most likely written by an Human
13,1918,74.05%,1,This text is most likely written by an Human
14,2270,66.41%,1,This text is most likely written by an Human
15,9747,66.93%,1,This text is most likely written by an Human
16,25190,94.74%,1,This text is most likely written by an Human
17,15139,81.43%,1,This text is most likely written by an Human
18,2605,78.55%,1,This text is most likely written by an Human
19,26098,80.23%,1,This text is most likely written by an Human
20,8964,75.88%,1,This text is most likely written by an Human
21,718,87.20%,1,This text is most likely written by an Human
22,5077,89.66%,1,This text is most likely written by an Human
23,18038,82.54%,1,This text is most likely written by an Human
24,12442,91.19%,1,This text is most likely written by an Human
25,18446,81.99%,1,This text is most likely written by an Human
26,23443,90.44%,1,This text is most likely written by an Human
27,6820,56.83%,1,This text is most likely written by an Human
28,25786,86.65%,1,This text is most likely written by an Human
29,7725,86.23%,1,This text is most likely written by an Human
30,1795,73.41%,1,This text is most likely written by an Human
31,14335,90.70%,1,This text is most likely written by an Human
32,6106,87.43%,1,This text is most likely written by an Human
33,5912,90.61%,1,This text is most likely written by an Human
34,11369,50.84%,1,This text is most likely written by an Human
35,3984,82.46%,1,This text is most likely written by an Human
36,20879,83.69%,1,This text is most likely written by an Human
37,10487,91.32%,1,This text is most likely written by an Human
38,24163,93.75%,1,This text is most likely written by an Human
39,15745,85.30%,1,This text is most likely written by an Human
40,15441,88.04%,1,This text is most likely written by an Human
41,7007,88.00%,1,This text is most likely written by an Human
42,9541,94.97%,1,This text is most likely written by an Human
43,3428,78.26%,1,This text is most likely written by an Human
44,4328,98.33%,1,This text is most likely written by an Human
45,18966,85.66%,1,This text is most likely written by an Human
46,12538,73.51%,1,This text is most likely written by an Human
47,3812,86.54%,1,This text is most likely written by an Human
48,21063,87.99%,1,This text is most likely written by an Human
49,13015,74.98%,1,This text is most likely written by an Human
50,8472,89.11%,1,This text is most likely written by an Human
51,4704,84.42%,1,This text is most likely written by an Human
52,15542,71.52%,1,This text is most likely written by an Human
53,19576,51.50%,0,This text is most likely generated by an A.I.
54,2018,79.28%,1,This text is most likely written by an Human
55,10752,73.20%,1,This text is most likely written by an Human
56,20559,94.46%,1,This text is most likely written by an Human
57,24516,53.62%,1,This text is most likely written by an Human
58,2380,76.41%,1,This text is most likely written by an Human
59,216,91.60%,1,This text is most likely written by an Human
60,20846,55.41%,1,This text is most likely written by an Human
61,20310,88.62%,1,This text is most likely written by an Human
62,1752,72.74%,1,This text is most likely written by an Human
63,1467,67.48%,1,This text is most likely written by an Human
64,24678,70.16%,1,This text is most likely written by an Human
65,1306,88.18%,1,This text is most likely written by an Human
66,14480,87.61%,1,This text is most likely written by an Human
67,3443,78.79%,1,This text is most likely written by an Human
68,2512,67.40%,1,This text is most likely written by an Human
69,18224,76.28%,1,This text is most likely written by an Human
70,22335,71.14%,1,This text is most likely written by an Human
71,1153,89.04%,1,This text is most likely written by an Human
72,10975,72.82%,1,This text is most likely written by an Human
73,18607,75.03%,1,This text is most likely written by an Human
74,2472,84.82%,1,This text is most likely written by an Human
75,21130,94.27%,1,This text is most likely written by an Human
76,25903,85.28%,1,This text is most likely written by an Human
77,3913,61.24%,1,This text is most likely written by an Human
78,11995,90.79%,1,This text is most likely written by an Human
79,22345,82.08%,1,This text is most likely written by an Human
80,19583,94.14%,1,This text is most likely written by an Human
81,12142,93.00%,1,This text is most likely written by an Human
82,17812,84.24%,1,This text is most likely written by an Human
83,22624,90.45%,1,This text is most likely written by an Human
84,8640,86.64%,0,This text is most likely generated by an A.I.
85,20256,70.59%,1,This text is most likely written by an Human
86,7035,87.43%,1,This text is most likely written by an Human
87,22362,68.70%,1,This text is most likely written by an Human
88,20261,92.33%,1,This text is most likely written by an Human
89,15478,52.93%,0,This text is most likely generated by an A.I.
90,7194,79.89%,1,This text is most likely written by an Human
91,9860,77.69%,1,This text is most likely written by an Human
92,12735,87.02%,1,This text is most likely written by an Human
93,24510,69.17%,1,This text is most likely written by an Human
94,18265,85.65%,1,This text is most likely written by an Human
95,20036,84.87%,1,This text is most likely written by an Human
96,24707,86.10%,1,This text is most likely written by an Human
97,22683,60.92%,1,This text is most likely written by an Human
98,15001,72.43%,1,This text is most likely written by an Human
99,12896,62.02%,1,This text is most likely written by an Human
