,sr_no,prob,label,desc,source
0,61,72.35%,1,This text is most likely written by an Human,chatgpt
1,67,60.92%,1,This text is most likely written by an Human,chatgpt
2,66,77.21%,1,This text is most likely written by an Human,chatgpt
3,65,66.07%,1,This text is most likely written by an Human,chatgpt
4,64,78.29%,1,This text is most likely written by an Human,chatgpt
5,63,81.72%,1,This text is most likely written by an Human,chatgpt
6,62,70.89%,1,This text is most likely written by an Human,chatgpt
7,60,81.63%,1,This text is most likely written by an Human,chatgpt
8,81,55.33%,1,This text is most likely written by an Human,chatgpt
9,82,56.52%,1,This text is most likely written by an Human,chatgpt
10,78,58.99%,1,This text is most likely written by an Human,chatgpt
11,76,67.22%,1,This text is most likely written by an Human,chatgpt
12,75,81.26%,1,This text is most likely written by an Human,chatgpt
13,70,63.64%,1,This text is most likely written by an Human,chatgpt
14,72,52.79%,1,This text is most likely written by an Human,chatgpt
15,77,52.07%,1,This text is most likely written by an Human,chatgpt
16,73,69.34%,1,This text is most likely written by an Human,chatgpt
17,69,52.44%,1,This text is most likely written by an Human,chatgpt
18,71,65.23%,1,This text is most likely written by an Human,chatgpt
19,74,60.70%,1,This text is most likely written by an Human,chatgpt
20,46,74.17%,1,This text is most likely written by an Human,chatgpt
21,40,71.55%,1,This text is most likely written by an Human,chatgpt
22,43,83.52%,1,This text is most likely written by an Human,chatgpt
23,37,69.43%,1,This text is most likely written by an Human,chatgpt
24,44,79.46%,1,This text is most likely written by an Human,chatgpt
25,45,69.10%,1,This text is most likely written by an Human,chatgpt
26,39,70.70%,1,This text is most likely written by an Human,chatgpt
27,41,62.22%,1,This text is most likely written by an Human,chatgpt
28,42,78.73%,1,This text is most likely written by an Human,chatgpt
29,68,78.09%,1,This text is most likely written by an Human,chatgpt
30,55,77.04%,1,This text is most likely written by an Human,chatgpt
31,53,78.92%,1,This text is most likely written by an Human,chatgpt
32,51,66.16%,1,This text is most likely written by an Human,chatgpt
33,49,78.67%,1,This text is most likely written by an Human,chatgpt
34,54,71.92%,1,This text is most likely written by an Human,chatgpt
35,57,80.70%,1,This text is most likely written by an Human,chatgpt
36,56,66.11%,1,This text is most likely written by an Human,chatgpt
37,52,62.96%,1,This text is most likely written by an Human,chatgpt
38,50,65.95%,1,This text is most likely written by an Human,chatgpt
39,14,72.57%,1,This text is most likely written by an Human,chatgpt
40,15,84.21%,1,This text is most likely written by an Human,chatgpt
41,9,66.82%,1,This text is most likely written by an Human,chatgpt
42,6,77.61%,1,This text is most likely written by an Human,chatgpt
43,10,67.08%,1,This text is most likely written by an Human,chatgpt
44,8,67.07%,1,This text is most likely written by an Human,chatgpt
45,12,84.82%,1,This text is most likely written by an Human,chatgpt
46,5,67.73%,1,This text is most likely written by an Human,chatgpt
47,7,68.02%,1,This text is most likely written by an Human,chatgpt
48,31,85.05%,1,This text is most likely written by an Human,chatgpt
49,29,83.01%,1,This text is most likely written by an Human,chatgpt
50,32,66.18%,1,This text is most likely written by an Human,chatgpt
51,35,70.46%,1,This text is most likely written by an Human,chatgpt
52,33,57.90%,0,This text is most likely generated by an A.I.,chatgpt
53,30,56.54%,1,This text is most likely written by an Human,chatgpt
54,26,69.54%,1,This text is most likely written by an Human,chatgpt
55,28,66.71%,1,This text is most likely written by an Human,chatgpt
56,34,55.83%,1,This text is most likely written by an Human,chatgpt
57,10001,67.46%,1,This text is most likely written by an Human,chatgpt
58,10002,73.96%,1,This text is most likely written by an Human,chatgpt
