,sr_no,prob,label,desc
0,111,90.00%,1,This text is most likely written by an Human
1,102,95.04%,1,This text is most likely written by an Human
2,108,73.92%,1,This text is most likely written by an Human
3,101,83.85%,1,This text is most likely written by an Human
4,106,75.40%,1,This text is most likely written by an Human
5,113,88.99%,1,This text is most likely written by an Human
6,11,83.19%,1,This text is most likely written by an Human
7,104,79.81%,1,This text is most likely written by an Human
8,112,89.28%,1,This text is most likely written by an Human
9,103,84.82%,1,This text is most likely written by an Human
10,109,95.44%,1,This text is most likely written by an Human
11,105,89.41%,1,This text is most likely written by an Human
12,100,83.66%,1,This text is most likely written by an Human
13,110,86.76%,1,This text is most likely written by an Human
14,107,81.47%,1,This text is most likely written by an Human
15,126,89.42%,1,This text is most likely written by an Human
16,12,94.32%,1,This text is most likely written by an Human
17,122,93.98%,1,This text is most likely written by an Human
18,123,86.49%,1,This text is most likely written by an Human
19,117,87.03%,1,This text is most likely written by an Human
20,119,84.20%,1,This text is most likely written by an Human
21,16,76.13%,1,This text is most likely written by an Human
22,124,92.89%,1,This text is most likely written by an Human
23,131,89.74%,1,This text is most likely written by an Human
24,15,89.03%,1,This text is most likely written by an Human
25,120,90.81%,1,This text is most likely written by an Human
26,114,88.45%,1,This text is most likely written by an Human
27,152,78.34%,1,This text is most likely written by an Human
28,129,88.59%,1,This text is most likely written by an Human
29,134,92.51%,1,This text is most likely written by an Human
30,151,83.35%,1,This text is most likely written by an Human
31,121,89.59%,1,This text is most likely written by an Human
32,115,89.35%,1,This text is most likely written by an Human
33,132,82.99%,1,This text is most likely written by an Human
34,116,88.21%,1,This text is most likely written by an Human
35,118,88.86%,1,This text is most likely written by an Human
36,125,83.96%,1,This text is most likely written by an Human
37,14,90.31%,1,This text is most likely written by an Human
38,128,83.83%,1,This text is most likely written by an Human
39,127,94.86%,1,This text is most likely written by an Human
40,130,94.21%,1,This text is most likely written by an Human
41,149,73.90%,1,This text is most likely written by an Human
42,139,89.95%,1,This text is most likely written by an Human
43,40,74.59%,1,This text is most likely written by an Human
44,20,75.21%,1,This text is most likely written by an Human
45,163,70.48%,1,This text is most likely written by an Human
46,26,96.00%,1,This text is most likely written by an Human
47,3,83.08%,1,This text is most likely written by an Human
48,21,91.61%,1,This text is most likely written by an Human
49,46,96.57%,1,This text is most likely written by an Human
50,19,89.41%,1,This text is most likely written by an Human
51,35,80.46%,1,This text is most likely written by an Human
52,176,80.10%,1,This text is most likely written by an Human
53,47,89.70%,1,This text is most likely written by an Human
54,23,93.31%,1,This text is most likely written by an Human
55,18,86.38%,1,This text is most likely written by an Human
56,42,93.55%,1,This text is most likely written by an Human
57,43,85.22%,1,This text is most likely written by an Human
58,17,88.83%,1,This text is most likely written by an Human
59,45,88.85%,1,This text is most likely written by an Human
60,44,84.12%,1,This text is most likely written by an Human
61,25,76.46%,1,This text is most likely written by an Human
62,37,86.41%,1,This text is most likely written by an Human
63,24,83.92%,1,This text is most likely written by an Human
64,22,82.76%,1,This text is most likely written by an Human
65,48,96.88%,1,This text is most likely written by an Human
66,28,86.41%,1,This text is most likely written by an Human
67,2,91.66%,1,This text is most likely written by an Human
68,41,85.83%,1,This text is most likely written by an Human
69,27,87.47%,1,This text is most likely written by an Human
70,36,90.26%,1,This text is most likely written by an Human
71,49,86.77%,1,This text is most likely written by an Human
72,70,93.78%,1,This text is most likely written by an Human
73,71,89.41%,1,This text is most likely written by an Human
74,61,89.32%,1,This text is most likely written by an Human
75,56,89.41%,1,This text is most likely written by an Human
76,65,96.11%,1,This text is most likely written by an Human
77,64,90.60%,1,This text is most likely written by an Human
78,63,80.97%,1,This text is most likely written by an Human
79,73,86.55%,1,This text is most likely written by an Human
80,50,91.57%,1,This text is most likely written by an Human
81,59,93.14%,1,This text is most likely written by an Human
82,55,84.05%,1,This text is most likely written by an Human
83,67,94.86%,1,This text is most likely written by an Human
84,69,93.55%,1,This text is most likely written by an Human
85,7,96.03%,1,This text is most likely written by an Human
86,74,96.08%,1,This text is most likely written by an Human
87,53,77.42%,1,This text is most likely written by an Human
88,58,83.41%,1,This text is most likely written by an Human
89,60,86.55%,1,This text is most likely written by an Human
90,68,77.02%,1,This text is most likely written by an Human
91,66,91.56%,1,This text is most likely written by an Human
92,62,79.07%,1,This text is most likely written by an Human
93,57,92.37%,1,This text is most likely written by an Human
94,6,87.94%,1,This text is most likely written by an Human
95,5,95.99%,1,This text is most likely written by an Human
96,75,89.80%,1,This text is most likely written by an Human
97,52,88.36%,1,This text is most likely written by an Human
98,51,73.43%,1,This text is most likely written by an Human
99,72,96.48%,1,This text is most likely written by an Human
100,90,82.62%,1,This text is most likely written by an Human
101,78,94.04%,1,This text is most likely written by an Human
102,9,82.61%,1,This text is most likely written by an Human
103,76,79.05%,1,This text is most likely written by an Human
104,89,95.83%,1,This text is most likely written by an Human
105,79,89.82%,1,This text is most likely written by an Human
106,82,85.66%,1,This text is most likely written by an Human
107,93,58.30%,1,This text is most likely written by an Human
108,99,89.98%,1,This text is most likely written by an Human
109,80,92.90%,1,This text is most likely written by an Human
110,92,91.41%,1,This text is most likely written by an Human
111,85,96.47%,1,This text is most likely written by an Human
112,95,95.12%,1,This text is most likely written by an Human
113,83,83.46%,1,This text is most likely written by an Human
114,77,91.19%,1,This text is most likely written by an Human
115,98,83.42%,1,This text is most likely written by an Human
116,86,82.08%,1,This text is most likely written by an Human
117,91,84.30%,1,This text is most likely written by an Human
118,84,93.34%,1,This text is most likely written by an Human
119,88,68.87%,1,This text is most likely written by an Human
120,87,84.69%,1,This text is most likely written by an Human
121,97,94.18%,1,This text is most likely written by an Human
122,8,78.37%,1,This text is most likely written by an Human
123,96,94.59%,1,This text is most likely written by an Human
124,81,60.97%,1,This text is most likely written by an Human
125,94,80.85%,1,This text is most likely written by an Human
126,109,53.08%,0,This text is most likely generated by an A.I.
127,114,57.92%,1,This text is most likely written by an Human
128,117,51.90%,1,This text is most likely written by an Human
129,107,50.94%,0,This text is most likely generated by an A.I.
130,125,52.24%,1,This text is most likely written by an Human
131,121,58.48%,1,This text is most likely written by an Human
132,115,51.09%,0,This text is most likely generated by an A.I.
133,124,53.70%,0,This text is most likely generated by an A.I.
134,104,54.91%,1,This text is most likely written by an Human
135,102,68.02%,0,This text is most likely generated by an A.I.
136,100,50.66%,1,This text is most likely written by an Human
137,113,60.02%,1,This text is most likely written by an Human
138,103,60.32%,0,This text is most likely generated by an A.I.
139,110,51.96%,1,This text is most likely written by an Human
140,122,66.37%,0,This text is most likely generated by an A.I.
141,120,61.01%,1,This text is most likely written by an Human
142,119,57.55%,1,This text is most likely written by an Human
143,112,50.05%,0,This text is most likely generated by an A.I.
144,108,51.67%,0,This text is most likely generated by an A.I.
145,111,52.30%,1,This text is most likely written by an Human
146,118,61.80%,1,This text is most likely written by an Human
147,105,60.58%,1,This text is most likely written by an Human
148,116,59.79%,0,This text is most likely generated by an A.I.
149,11,61.02%,0,This text is most likely generated by an A.I.
150,123,50.16%,0,This text is most likely generated by an A.I.
151,106,57.89%,0,This text is most likely generated by an A.I.
152,12,64.90%,0,This text is most likely generated by an A.I.
153,101,56.12%,0,This text is most likely generated by an A.I.
154,20,69.06%,0,This text is most likely generated by an A.I.
155,2,53.00%,0,This text is most likely generated by an A.I.
156,15,52.83%,0,This text is most likely generated by an A.I.
157,28,50.51%,0,This text is most likely generated by an A.I.
158,163,50.37%,0,This text is most likely generated by an A.I.
159,130,66.32%,1,This text is most likely written by an Human
160,128,50.22%,1,This text is most likely written by an Human
161,22,66.74%,0,This text is most likely generated by an A.I.
162,129,51.72%,0,This text is most likely generated by an A.I.
163,127,60.16%,0,This text is most likely generated by an A.I.
164,176,51.55%,1,This text is most likely written by an Human
165,126,76.88%,0,This text is most likely generated by an A.I.
166,17,57.74%,0,This text is most likely generated by an A.I.
167,23,63.63%,0,This text is most likely generated by an A.I.
168,24,54.69%,1,This text is most likely written by an Human
