,sr_no,Perplexity,Perplexity per line,Burstiness,label,desc,source
0,61,8,19.083333333333332,55,0,The Text is generated by AI.,chatgpt
1,67,5,15.941176470588236,29,0,The Text is generated by AI.,chatgpt
2,66,6,19.25,40,0,The Text is generated by AI.,chatgpt
3,65,8,21.0,53,0,The Text is generated by AI.,chatgpt
4,64,6,35.875,144,0,The Text is generated by AI.,chatgpt
5,63,5,36.46666666666667,283,0,The Text is generated by AI.,chatgpt
6,62,7,18.263157894736842,63,0,The Text is generated by AI.,chatgpt
7,60,8,27.058823529411764,67,0,The Text is generated by AI.,chatgpt
8,81,5,12.454545454545455,30,0,The Text is generated by AI.,chatgpt
9,82,9,20.714285714285715,58,0,The Text is generated by AI.,chatgpt
10,78,5,18.625,60,0,The Text is generated by AI.,chatgpt
11,76,6,13.333333333333334,26,0,The Text is generated by AI.,chatgpt
12,75,9,34.0,155,0,The Text is generated by AI.,chatgpt
13,70,5,14.285714285714286,38,0,The Text is generated by AI.,chatgpt
14,72,5,15.076923076923077,37,0,The Text is generated by AI.,chatgpt
15,77,5,15.263157894736842,39,0,The Text is generated by AI.,chatgpt
16,73,9,34.35294117647059,103,0,The Text is generated by AI.,chatgpt
17,69,6,21.61111111111111,42,0,The Text is generated by AI.,chatgpt
18,71,8,36.86666666666667,108,0,The Text is generated by AI.,chatgpt
19,74,7,14.833333333333334,31,0,The Text is generated by AI.,chatgpt
20,46,5,16.615384615384617,43,0,The Text is generated by AI.,chatgpt
21,40,8,31.0,138,0,The Text is generated by AI.,chatgpt
22,43,9,31.23076923076923,45,0,The Text is generated by AI.,chatgpt
23,37,9,28.214285714285715,100,0,The Text is generated by AI.,chatgpt
24,44,7,59.68421052631579,601,0,The Text is generated by AI.,chatgpt
25,45,7,20.214285714285715,46,0,The Text is generated by AI.,chatgpt
26,39,9,44.86666666666667,229,0,The Text is generated by AI.,chatgpt
27,41,5,41.416666666666664,85,0,The Text is generated by AI.,chatgpt
28,42,7,21.0,67,0,The Text is generated by AI.,chatgpt
29,68,10,41.642857142857146,283,0,The Text is generated by AI.,chatgpt
30,55,7,31.833333333333332,170,0,The Text is generated by AI.,chatgpt
31,53,11,45.642857142857146,176,0,The Text is generated by AI.,chatgpt
32,51,6,18.714285714285715,47,0,The Text is generated by AI.,chatgpt
33,49,8,19.285714285714285,74,0,The Text is generated by AI.,chatgpt
34,54,9,36.46666666666667,116,0,The Text is generated by AI.,chatgpt
35,57,10,36.357142857142854,102,0,The Text is generated by AI.,chatgpt
36,56,6,20.333333333333332,50,0,The Text is generated by AI.,chatgpt
37,52,7,15.307692307692308,31,0,The Text is generated by AI.,chatgpt
38,50,7,23.466666666666665,44,0,The Text is generated by AI.,chatgpt
39,14,7,25.928571428571427,54,0,The Text is generated by AI.,chatgpt
40,15,6,41.72222222222222,127,0,The Text is generated by AI.,chatgpt
41,9,6,21.25,43,0,The Text is generated by AI.,chatgpt
42,6,10,44.333333333333336,251,0,The Text is generated by AI.,chatgpt
43,10,7,29.875,98,0,The Text is generated by AI.,chatgpt
44,8,6,34.857142857142854,127,0,The Text is generated by AI.,chatgpt
45,12,13,29.0,62,0,The Text is generated by AI.,chatgpt
46,5,7,27.166666666666668,68,0,The Text is generated by AI.,chatgpt
47,7,7,16.466666666666665,35,0,The Text is generated by AI.,chatgpt
48,31,5,20.705882352941178,167,0,The Text is generated by AI.,chatgpt
49,29,4,13.4375,46,0,The Text is generated by AI.,chatgpt
50,32,7,19.470588235294116,58,0,The Text is generated by AI.,chatgpt
51,35,7,18.833333333333332,26,0,The Text is generated by AI.,chatgpt
52,33,6,15.294117647058824,44,0,The Text is generated by AI.,chatgpt
53,30,4,13.789473684210526,31,0,The Text is generated by AI.,chatgpt
54,26,8,21.235294117647058,48,0,The Text is generated by AI.,chatgpt
55,28,5,14.947368421052632,34,0,The Text is generated by AI.,chatgpt
56,34,4,15.157894736842104,40,0,The Text is generated by AI.,chatgpt
57,10001,8,22.11764705882353,41,0,The Text is generated by AI.,chatgpt
58,10002,7,31.066666666666666,138,0,The Text is generated by AI.,chatgpt
59,2,10,29.0,55,0,The Text is generated by AI.,chatgpt
60,3,5,21.333333333333332,57,0,The Text is generated by AI.,chatgpt
61,4,7,16.0,31,0,The Text is generated by AI.,chatgpt
62,11001,6,18.727272727272727,54,0,The Text is generated by AI.,chatgpt
63,11002,7,22.727272727272727,66,0,The Text is generated by AI.,chatgpt
64,13001,8,23.714285714285715,74,0,The Text is generated by AI.,chatgpt
65,13002,6,23.0,70,0,The Text is generated by AI.,chatgpt
66,16,9,32.1578947368421,104,0,The Text is generated by AI.,chatgpt
67,17,9,24.0,60,0,The Text is generated by AI.,chatgpt
68,18,5,12.882352941176471,32,0,The Text is generated by AI.,chatgpt
69,19,7,36.56521739130435,170,0,The Text is generated by AI.,chatgpt
70,20,9,24.23076923076923,44,0,The Text is generated by AI.,chatgpt
71,21,6,25.428571428571427,85,0,The Text is generated by AI.,chatgpt
72,22,10,22.384615384615383,57,0,The Text is generated by AI.,chatgpt
73,23,7,20.53846153846154,38,0,The Text is generated by AI.,chatgpt
74,24,8,16.076923076923077,32,0,The Text is generated by AI.,chatgpt
75,25,6,20.176470588235293,98,0,The Text is generated by AI.,chatgpt
76,27,7,22.625,61,0,The Text is generated by AI.,chatgpt
77,36,9,32.785714285714285,194,0,The Text is generated by AI.,chatgpt
78,38002,7,17.545454545454547,30,0,The Text is generated by AI.,chatgpt
79,47,7,27.9375,146,0,The Text is generated by AI.,chatgpt
80,48001,14,34.73684210526316,133,0,The Text is generated by AI.,chatgpt
81,48002,9,25.928571428571427,47,0,The Text is generated by AI.,chatgpt
82,58,7,29.25,86,0,The Text is generated by AI.,chatgpt
