,sr_no,prob,label,desc,source
0,0,91.55%,1,This text is most likely written by an Human,human
1,10001,82.32%,1,This text is most likely written by an Human,human
2,10002,91.36%,1,This text is most likely written by an Human,human
3,2,76.41%,1,This text is most likely written by an Human,human
4,3,91.24%,1,This text is most likely written by an Human,human
5,4,85.32%,1,This text is most likely written by an Human,human
6,5,78.93%,1,This text is most likely written by an Human,human
7,6,84.45%,1,This text is most likely written by an Human,human
8,7,85.86%,1,This text is most likely written by an Human,human
9,8,93.86%,1,This text is most likely written by an Human,human
10,9,81.68%,1,This text is most likely written by an Human,human
11,10,85.73%,1,This text is most likely written by an Human,human
12,11001,71.80%,1,This text is most likely written by an Human,human
13,11002,79.46%,1,This text is most likely written by an Human,human
14,12,57.48%,1,This text is most likely written by an Human,human
15,13001,57.62%,1,This text is most likely written by an Human,human
16,13002,88.36%,1,This text is most likely written by an Human,human
17,14,87.34%,1,This text is most likely written by an Human,human
18,15,77.45%,1,This text is most likely written by an Human,human
19,16,70.20%,1,This text is most likely written by an Human,human
20,17,69.84%,1,This text is most likely written by an Human,human
21,18,81.75%,1,This text is most likely written by an Human,human
22,19,65.69%,1,This text is most likely written by an Human,human
23,20,54.72%,1,This text is most likely written by an Human,human
24,21,89.05%,1,This text is most likely written by an Human,human
25,22,91.51%,1,This text is most likely written by an Human,human
26,23,78.31%,1,This text is most likely written by an Human,human
27,24,85.69%,1,This text is most likely written by an Human,human
28,25,76.76%,1,This text is most likely written by an Human,human
29,26,73.18%,1,This text is most likely written by an Human,human
30,27,87.86%,1,This text is most likely written by an Human,human
31,28,89.14%,1,This text is most likely written by an Human,human
32,29,86.63%,1,This text is most likely written by an Human,human
33,30,92.65%,1,This text is most likely written by an Human,human
34,31,92.45%,1,This text is most likely written by an Human,human
35,32,63.51%,1,This text is most likely written by an Human,human
36,33,66.61%,1,This text is most likely written by an Human,human
37,34,80.75%,1,This text is most likely written by an Human,human
38,35,56.87%,1,This text is most likely written by an Human,human
39,36,93.14%,1,This text is most likely written by an Human,human
40,37,85.53%,1,This text is most likely written by an Human,human
41,38001,79.80%,1,This text is most likely written by an Human,human
42,38002,95.78%,1,This text is most likely written by an Human,human
43,39,84.92%,1,This text is most likely written by an Human,human
44,40,70.86%,1,This text is most likely written by an Human,human
45,41,76.34%,1,This text is most likely written by an Human,human
46,42,95.33%,1,This text is most likely written by an Human,human
47,43,78.69%,1,This text is most likely written by an Human,human
48,44,87.79%,1,This text is most likely written by an Human,human
49,45,88.93%,1,This text is most likely written by an Human,human
50,46,79.71%,1,This text is most likely written by an Human,human
51,48001,66.13%,1,This text is most likely written by an Human,human
52,48002,67.00%,1,This text is most likely written by an Human,human
53,47,95.30%,1,This text is most likely written by an Human,human
54,49,60.82%,1,This text is most likely written by an Human,human
55,50,63.35%,1,This text is most likely written by an Human,human
56,51,93.91%,1,This text is most likely written by an Human,human
57,52,92.08%,1,This text is most likely written by an Human,human
58,53,95.23%,1,This text is most likely written by an Human,human
59,54,83.81%,1,This text is most likely written by an Human,human
60,55,76.71%,1,This text is most likely written by an Human,human
61,56,88.83%,1,This text is most likely written by an Human,human
62,57,91.47%,1,This text is most likely written by an Human,human
63,58,89.73%,1,This text is most likely written by an Human,human
64,59,69.58%,1,This text is most likely written by an Human,human
65,60,76.71%,1,This text is most likely written by an Human,human
66,61,87.17%,1,This text is most likely written by an Human,human
67,62,90.68%,1,This text is most likely written by an Human,human
68,63,94.88%,1,This text is most likely written by an Human,human
69,64,74.32%,1,This text is most likely written by an Human,human
70,65,84.94%,1,This text is most likely written by an Human,human
71,66,78.65%,1,This text is most likely written by an Human,human
72,67,71.78%,1,This text is most likely written by an Human,human
73,68,71.20%,1,This text is most likely written by an Human,human
74,69,69.55%,1,This text is most likely written by an Human,human
75,70,69.25%,1,This text is most likely written by an Human,human
76,71,64.14%,1,This text is most likely written by an Human,human
77,72,76.33%,1,This text is most likely written by an Human,human
78,73,84.39%,1,This text is most likely written by an Human,human
79,74,76.98%,1,This text is most likely written by an Human,human
80,75,79.46%,1,This text is most likely written by an Human,human
81,76,65.11%,1,This text is most likely written by an Human,human
82,77,66.06%,1,This text is most likely written by an Human,human
83,78,74.28%,1,This text is most likely written by an Human,human
84,81,92.14%,1,This text is most likely written by an Human,human
85,82,74.05%,1,This text is most likely written by an Human,human
86,83,67.68%,1,This text is most likely written by an Human,human
87,84,81.44%,1,This text is most likely written by an Human,human
88,85,70.49%,1,This text is most likely written by an Human,human
89,86,90.10%,1,This text is most likely written by an Human,human
90,87,81.59%,1,This text is most likely written by an Human,human
91,88,86.01%,1,This text is most likely written by an Human,human
92,89,74.29%,1,This text is most likely written by an Human,human
93,90,96.34%,1,This text is most likely written by an Human,human
94,91,95.74%,1,This text is most likely written by an Human,human
95,92,59.51%,1,This text is most likely written by an Human,human
96,93,82.84%,1,This text is most likely written by an Human,human
97,94,63.83%,1,This text is most likely written by an Human,human
98,95,85.92%,1,This text is most likely written by an Human,human
99,96001,71.52%,1,This text is most likely written by an Human,human
100,96002,59.58%,1,This text is most likely written by an Human,human
101,97,78.23%,1,This text is most likely written by an Human,human
102,98,76.29%,1,This text is most likely written by an Human,human
103,99,65.31%,1,This text is most likely written by an Human,human
104,100,97.94%,1,This text is most likely written by an Human,human
105,101,56.70%,1,This text is most likely written by an Human,human
106,1021,76.54%,1,This text is most likely written by an Human,human
107,1022,69.12%,1,This text is most likely written by an Human,human
108,1032,76.36%,1,This text is most likely written by an Human,human
109,1031,82.52%,1,This text is most likely written by an Human,human
110,1041,84.51%,1,This text is most likely written by an Human,human
111,1042,90.75%,1,This text is most likely written by an Human,human
